漢字	拼音方案		IPA	注釋	説明：兩種拼音方案的聲調，都遵循以下對應規則，即：陰平1，陰上2，陰去3，陰入4，陽平5，陽上6，陽去7，陽入8									
搐	thek4	têg4	tʰek˨											
逐	tok8	dog8	tok˥˦											
軸	tek8	dêg8	tek˥˦											
縮	sok4	sog4	sok˨											
祝	tsok4	zog4	tsok˨											
粥	tsok8	zog8	tsok˥˦											
叔	tsek4	zêg4	tsek˨											
叔	sok4	sog4	sok˨	文，李~同										
熟	sek8	sêg8	sek˥˦											
淑	sok4	sog4	sok˨											
肉	nek8	nêg8	nek˥˦											
肉	bah4	bhah4	ᵐbaʔ˨	訓										
菊	kek4	gêg4	kek˨											
畜	thiok4	tiog4	tʰiok˨											
蓄	thiok4	tiog4	tʰiok˨											
鬱	hiok4	hiog4	hiok˨											
鬱	uk4	ug4	uk˨											
育	iok8	iog8	iok˥˦											
綠	lek8	lêg8	lek˥˦											
錄	lok8	log8	lok˥˦											
足	tsok4	zog4	tsok˨											
促	tshok4	cog4	tsʰok˨											
粟	tshek4	cêg4	tsʰek˨											
俗	sok8	sog8	sok˥˦											
續	sok8	sog8	sok˥˦											
燭	tsek4	zêg4	tsek˨											
囑	tsok4	zog4	tsok˨											
觸	tshok4	cog4	tsʰok˨											
贖	sok8	sog8	sok˥˦											
束	sok4	sog4	sok˨											
蜀	tsuak8	zuag8	tsuak˥˦											
蜀	dzuak8	ruag8	dzuak˥˦	又										
屬	sok8	sog8	sok˥˦											
辱	dziok8/dzok8	riog8/rog8	dʑiok˥˦/dzok˥˦											
褥	dzok8	rog8	dzok˥˦											
鋦	kek8	gêg8	kek˥˦											
鞠	kiok4	giog4	kiok˨											
曲	khek4	kêg4	kʰek˨											
曲	khiok4	kiog4	kʰiok˨	文										
局	kek8	gêg8	kek˥˦											
玉	gek8	ghêg8	ᵑɡek˥˦											
獄	gek8	ghêg8	ᵑɡek˥˦											
旭	hiok4	hiog4	hiok˨											
浴	ek8	êg8	ek˥˦											
欲	ainn3	ain3	ai ̃˨˩˨	俗，訓“愛”										
欲	iok8	iog8	iok˥˦											
妗	kim6	gim6	kim˧˥	舅媽										
膦	lang6	lang6	laŋ˧˥	白，男陰										
癲	tiang1	diang1	tiaŋ˧˧											
巔	tiang1	diang1	tiaŋ˧˧											
蟾	siam5	siam5	ɕiam˥˥											
蜍	su5	su5	su˥˥											
鑫	him1	him1	him˧˧											
翕	hoh4	hoh4	hoʔ˨	俗，~相										
翕	hip4	hib4	hip˨											
鰻	muann5	mua5	mua ̃˥˥											
癮	ing2	ing2	iŋ˥˨											
鯧	tshionn1	cion1	tɕʰio ̃˧˧											
鯊	sua1	sua1	sua˧˧											
澳	o3	o3	o˨˩˨											
瘤	lau5	lao5	lau˥˥	白										
瘤	liu5	liu5	liu˥˥	文										
癆	lau5	lao5	lau˥˥											
朥	la5	la5	la˥˥	俗，豬油										
褸	lau1	lao1	lau˧˧	風~										
褸	lu2	lu2	lu˥˨	襤~										
佬	lau2	lao2	lau˥˨											
笠	loih8	loih8	loiʔ˥˦											
嫪	lau7	lao7	lau˧˩											
毐	ai2	ai2	ai˥˨											
繆	niu5	niu5	niu˥˥	綢~										
繆	niu6	niu6	niu˧˥	又，紕~										
砧	tiam1	diam1	tiam˧˧											
梟	hiau1	hiao1	hiao˧˧											
續	sua3	sua3	sua˨˩˨	口										
焗	kok8	gog8	kok˥˦											
曱	ka1	ga1	ka˧˧	~甴（蟑螂）										
甴	tsuah8	zuah8	tsuaʔ˥˦	曱~（蟑螂）										
骹	kha1	ka1	kʰa˧˧	脚										
尻	kha1	ka1	kʰa˧˧	~川（屁股）										
烌	hu1	hu1	hu˧˧											
儂	nang5	nang5	naŋ˥˥	白，人										
儂	long5	long5	loŋ˥˥	文										
怎	tsann3	zan3	tsa ̃˨˩˨											
燥	tshau3	cao3	tsʰau˨˩˨											
噪	tshau3	cao3	tsʰau˨˩˨											
噪	tshau1	cao1	tsʰau˧˧	又，~音										
肏	phu2	pu2	pʰu˥˨	俗										
肏	tshoh8	coh8	tsʰoʔ˥˦	白										
肏	tshau3	cao3	tsʰau˨˩˨	文										
龌	ok4	og4	ok˨											
龊	tshok4	cog4	tsʰok˨											
粿	kue2	guê2	kue˥˨											
墘	kinn5	gin5	ki ̃˥˥	旁										
囝	kiann2	gian2	kia ̃˥˨											
檻	kham2	kam2	kʰam˥˨											
糝	sam2	sam2	sam˥˨											
髦	mau5	mao5	mau˥˥											
韌	dzung7	rung7	dzuŋ˧˩											
泵	pong5	bong5	poŋ˥˥											
乒	ping1	bing1	piŋ˧˧											
乓	pong5	bong5	poŋ˥˥											
萱	suang1	suang1	suaŋ˧˧											
冼	siang2	siang2	ɕiaŋ˥˨											
猩	seng1	sêng1	seŋ˧˧											
闖	tshuang3	cuang3	tsʰuaŋ˨˩˨											
柯	kua1	gua1	kua˧˧	白，姓氏										
柯	kho1	ko1	kʰo˧˧	文										
筅	tshoinn2	coin2	tsʰoi ̃˥˨											
吃	ngurk4/ngiak4	ngeg4/ngiag4	ŋɯk˨/ŋiak˨											
晾	ne5	nê5	ne˥˥	俗										
晾	la7	la7	la˧˩	又俗										
襦	hiunn5	hiun5	hiu ̃˥˥	白，棉衣										
襦	dzu5	ru5	dzu˥˥	文										
癫	ting1	ding1	tiŋ˧˧	白										
癫	tiang1	diang1	tiaŋ˧˧											
嶼	sur6	se6	sɯ˧˥											
榕	seng5	sêng5	seŋ˥˥	白，~樹										
榕	iong5	iong5	ioŋ˥˥											
畲	sia5	sia5	ɕia˥˥											
挲	so1	so1	so˧˧											
菠	pue1	buê1	pue˧˧	白，~薐										
菠	po1	bo1	po˧˧											
恁	ning2/nng2	ning2/neng2	niŋ˥˨/nŋ˥˨	第二人稱複數										
垃	nah4	nah4	naʔ˨											
垃	la1	la1	la˧˧	文										
汕	suann1	suan1	sua ̃˧˧	~頭										
汕	suann3	suan3	sua ̃˨˩˨	~尾										
