	注释：-白，=文
tsʰ	[1]馊-□{提着裤子}[2]愁[3]柱-守{索回}[5]瘦嗽[6]骤
s	[1]搜[2]愁[3]叟宿-{窝}[5]瘦
k	[1]勾钩沟篝阄[3]苟狗=[5]够构购[7]狗-
kʰ	[1]箍-[3]口[5]叩扣寇
ŋ	[3]愚{蠢笨}[2]偶藕
x	[1]□{喘气}[2]侯喉猴[3]厚-[5]□{器具变形}[6]后厚=后後
∅	[1]欧瓯殴妪[3]呕吼{～他来：叫他来}
#iɤ	
p	[3]剥-[5]布-
pʰ	[6]缚-
t	[3]□{结果}
tʰ	[6]着-
l	[6]略
ts	[7]爵嚼=绰{～号}
tsʰ	[2]泅-{～水}[3]□{喘气}[7]雀芍灼
s	[1]□{kʰiɤ21～：蜘蛛}[2]□{爬树}[3]惜-{爱}削
k	[7]脚{～色，～夫}
kʰ	[2]茄瘸□{蜘蛛}[3]□{～钱：积钱}[7]却
∅	[1]□{捂起来}[7]1沃-{浇}惹=[6]虐药-弱箬{叶子}钥跃[7]约
#ioŋ	
p	[1]坊-枋{厚木板}[5]放-
pʰ	[3]纺-
m	[3]网-[6]望-[7]□{tsʰɛŋ33～，又名露雷藤、鸭子药，一种灌木根，有毒，可作农药}
t	[1]张-{量词}[5]帐-账-胀-
tʰ	[2]长-场-{停～：地方}[3]丈-[6]长{余剩}
l	[2]粮量{动词}梁粱凉[3]两[6]量{名词}亮谅掠辆
ts	[1]将浆[3]蒋奖桨[5]将{大～}酱
tsʰ	[1]枪□{锯开木板}[2]墙蔷樯嫱[3]抢痒-[5]呛[6]匠□{歪斜，动词}
s	[1]相箱厢湘襄镶[2]祥详[3]想[5]相{丞～}[6]象像橡[7]旬-{个～：十几天}
k	[1]姜[3]拣-捡-[7]□{个～：一串（葡萄、棕子）}糨{粘合}
kʰ	[1]匡眶框筐腔[2]强{张开(口袋之类)}[3]虹-
∅	[1]央殃秧=泱鸯[2]羊洋烊扬阳杨疡炀娘-萤{～焕珠}[3]养痒=仰[5]让壤嚷酿[6]样漾[7]影-
#ue	
p	[1]杯悲[3]贝背辈
pʰ	[1]坯胚[2]培陪赔裴𢆓{地名，～上，～下，塘～}[3]□{平地不平，山坡}[5]配佩沛[6]倍焙背{～诵}
m	[2]磨-{～刀}梅煤枚媒楣霉[2]每[5]妹=昧寐[7]麻{芝麻}
f	[1]灰恢[2]回蛔苗徊迴□{转让}[3]火-[6]害-坏-亥[7]□{乌累～：乌黑}
t	[1]堆[3]短[5]带-对碓队
tʰ	[1]拖-[2]槌锤-[3]腿[5]退蜕脱[6]袋-坠堕[7]锤-
